"Field","Decision","Reason"
"id","Approve for next round","Primary key."
"fromcontactid","Approve for next round","Required for directed relationship."
"tocontactid","Approve for next round","Required for directed relationship."
"relationshiptype","Approve for next round","Core business/family/company relationship field."
"startdate","Approve for next round","Helps when roles change over time."
"enddate","Approve for next round","Same reason."
"iscurrent","Approve for next round","Easy filtering for live relationships."
"notes","Approve for next round","Useful for context without overloading type fields."
"createdat","Approve for next round","Standard audit field."
"updatedat","Approve for next round","Standard audit field."
"Unique (fromcontactid, tocontactid, relationshiptype)","Approve for next round","Prevents duplicate relationship rows."
"caseid","Reject","This table is about contact-to-contact structure, not case participation."